date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc
1843年6月16日,大卫·波佩尔,布拉格,city,50.0874654,14.4212535,49.9419006,50.1774301,14.2244355,14.7067869,布拉格-okres Hlavní město Praha-Hlavní město Praha-Praha-捷克,[1843年6月16日]，{大卫·波佩尔}在<布拉格>出生。
1855年,大卫·波佩尔,汉堡,administrative,53.543764100000004,10.009913300000001,53.3951118,54.0276817,8.1053284,10.3252805,汉堡-德国,[1855年]，{大卫·波佩尔}入布拉格音乐学院从<汉堡>大提琴家尤利乌斯·戈尔特曼学习大提琴。
1863年,大卫·波佩尔,德国,administrative,51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.041931900000002,德国,[1863年]，{大卫·波佩尔}随交响乐指挥汉斯·冯·彪罗首次到<德国>、瑞士、荷兰和英国巡回演出，备受彪罗赞扬。
1867年,大卫·波佩尔,维也纳,city,48.2083537,16.372504199999998,48.0483537,48.3683537,16.212504199999998,16.532504199999998,维也纳-Wien-1010-奥地利,[1867年]，{大卫·波佩尔}到<维也纳>演出，随后出任<维也纳>国立歌剧院首席大提琴手。
1882年,大卫·波佩尔,法国,administrative,46.603353999999996,1.8883334999999999,-50.2187169,51.268318,-178.3873749,172.30571519999995,法国,[1882年]，{大卫·波佩尔}与<法国>小提琴家Emil Sauret搭伴到西班牙、葡萄牙演出。
1896年,大卫·波佩尔,布达佩斯,city,47.4983815,19.0404707,47.3496899,47.6131468,18.9251057,19.3349258,布达佩斯-Budapest-Közép-Magyarország-匈牙利,[1896年]，{大卫·波佩尔}应{李斯特·费伦茨}邀请，在{大卫·波佩尔}创建的布达佩斯音乐学院出任大提琴教授，并定居在<布达佩斯>。
1896年,李斯特·费伦茨,布达佩斯,city,47.4983815,19.0404707,47.3496899,47.6131468,18.9251057,19.3349258,布达佩斯-Budapest-Közép-Magyarország-匈牙利,[1896年]，{大卫·波佩尔}应{李斯特·费伦茨}邀请，在{大卫·波佩尔}创建的布达佩斯音乐学院出任大提琴教授，并定居在<布达佩斯>。
1913年8月7日,大卫·波佩尔,巴登-巴登,town,48.7580777,8.2415239,48.7180777,48.7980777,8.2015239,8.2815239,巴登-巴登-Baden-Baden-Regierungsbezirk Karlsruhe-巴登-符腾堡-76530-德国,[1913年8月7日]，{大卫·波佩尔}在<巴登-巴登>逝世。
