姓名,
赫德嘉·冯·宾根,
纪尧姆·德·马肖,
纪尧姆·迪费,
吉尔·班舒瓦,
约翰内斯·奥克冈,
约翰内斯·廷克托里斯,
若斯坎·德普雷,
雅各布·奥布雷赫特,
克莱门特·雅内坎,
约翰·塔弗纳,
阿德里安·维拉尔特,
托马斯·塔利斯,
阿卡代尔特,
乔瑟夫·扎理诺,
乔瓦尼·皮耶路易吉·达·帕莱斯特里纳,
安德烈·加布里埃利,
奥兰多·德·拉絮斯,
威廉·伯德,
玛达里娜·卡苏拉纳,
汤马斯·路易斯·德·维多利亚,
朱利欧·卡契尼,
卢卡·马伦济欧,
扬·皮泰尔索恩·斯韦林克,
约翰·道兰德,
乔万尼·加布里埃利,
卡洛·杰苏阿尔多,
托马斯·坎皮恩,
克劳迪奥·蒙特威尔第,
葛利高里欧·阿雷格里,
海因里希·许茨,
萨缪尔·沙伊特,
约翰·海因里希·施梅尔策,
马修·洛克,
吕利,
迪特里克·布克斯特胡德,
亚历山德罗·斯特拉代拉,
马克·安东尼·夏庞蒂埃,
海因里希·比贝尔,
帕斯科·科拉斯,
阿尔坎杰罗·科雷利,
约翰·帕赫贝尔,
马兰·马雷,
米歇尔·理查德·德拉兰德,
朱塞佩·托雷利,
亨利·普赛尔,
安德烈·坎普拉,
约翰·约瑟夫·富克斯,
亚历山德罗·斯卡拉蒂,
让·弗里·雷贝尔,
弗朗索瓦·库普兰,
托马索·阿尔比诺尼,
安德烈·卡迪纳·德图什,
安东尼奥·马利亚·博农奇尼,
威廉·克罗夫特,
安东尼奥·维瓦尔第,
扬·迪斯马斯·泽伦卡,
格奥尔格·菲利普·泰勒曼,
让·菲利普·拉莫,
约翰·塞巴斯蒂安·巴赫,
格奥尔格·弗里德里希·韩德尔,
多梅尼科·斯卡拉蒂,
朱塞佩·塔替尼,
让·玛丽·勒克莱尔,
约翰·阿道夫·哈塞,
乔万尼·巴蒂斯塔·萨马丁尼,
卡尔·海因里希·格劳恩,
卡洛斯·塞夏斯,
尼古拉斯·瑟德维尔,
乔凡尼·巴蒂斯塔·马蒂尼,
查尔斯·阿维森,
弗朗兹·本达,
弗朗兹·克萨韦尔·里赫特,
乔瓦尼·巴蒂斯塔·佩尔戈莱西,
托马斯·阿恩,
威廉·弗里德曼·巴赫,
威廉·博伊斯,
让·约瑟夫·卡桑尼·德·蒙东维尔,
让·雅克·卢梭,
腓特烈二世,
卡尔·菲利普·埃马努埃尔·巴赫,
克里斯托夫·维利巴尔德·格鲁克,
格奥尔格·克里斯托弗·瓦根塞尔,
约翰·斯塔米茨,
列奥波尔德·莫扎特,
格奥尔格·安东·本达,
卡尔·弗里德里希·阿贝尔,
