date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc,ppls
1860年5月29日,伊萨克·阿尔贝尼斯,坎普罗东,city,-20.464017300000002,-54.61629470000001,-21.584544100000002,-20.1652259,-54.9252802,-53.5997434,大坎普-Microrregião de Campo Grande-Mesorregião Centro Norte de Mato Grosso do Sul-南马托格罗索-Região Centro-Oeste-巴西,[1860年5月29日]，{伊萨克·阿尔贝尼斯}在<坎普罗东>出生。,伊萨克·阿尔贝尼斯
1867年,伊萨克·阿尔贝尼斯,马德里,city,40.4167047,-3.7035825,40.3119774,40.6437293,-3.8889539,-3.5179163,马德里-Área metropolitana de Madrid y Corredor del Henares-Comunidad de Madrid-28001-西班牙,[1867年]，{伊萨克·阿尔贝尼斯}入<马德里>音乐学院学习，毕业获钢琴演奏一等奖，后到<欧洲>各地巡回演出。,伊萨克·阿尔贝尼斯
1867年,伊萨克·阿尔贝尼斯,欧洲,continent,51.0,10.0,50.99995,51.00005,9.99995,10.00005,欧洲,[1867年]，{伊萨克·阿尔贝尼斯}入<马德里>音乐学院学习，毕业获钢琴演奏一等奖，后到<欧洲>各地巡回演出。,伊萨克·阿尔贝尼斯
1874年,伊萨克·阿尔贝尼斯,布鲁塞尔,administrative,50.8436709,4.36743669338796,50.7964079,50.8904108,4.3355956,4.4020115,布鲁塞尔-Ville de Bruxelles - Stad Brussel-Brussel-Hoofdstad - Bruxelles-Capitale-Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest-比利时,[1874年]，{伊萨克·阿尔贝尼斯}入<布鲁塞尔>音乐学院深造。,伊萨克·阿尔贝尼斯
1893年,伊萨克·阿尔贝尼斯,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,[1893年]，{伊萨克·阿尔贝尼斯}定居<巴黎>，与{樊尚·丹第}，{阿希尔·克洛德·德彪西}等结识。,伊萨克·阿尔贝尼斯 樊尚·丹第 阿希尔·克洛德·德彪西
1893年,樊尚·丹第,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,[1893年]，{伊萨克·阿尔贝尼斯}定居<巴黎>，与{樊尚·丹第}，{阿希尔·克洛德·德彪西}等结识。,伊萨克·阿尔贝尼斯 樊尚·丹第 阿希尔·克洛德·德彪西
1893年,阿希尔·克洛德·德彪西,巴黎,city,48.85661010000001,2.3514992,48.8155755,48.902156,2.224122,2.4697602,巴黎-法兰西岛大区-法国-法国,[1893年]，{伊萨克·阿尔贝尼斯}定居<巴黎>，与{樊尚·丹第}，{阿希尔·克洛德·德彪西}等结识。,伊萨克·阿尔贝尼斯 樊尚·丹第 阿希尔·克洛德·德彪西
1909年5月18日,伊萨克·阿尔贝尼斯,Cambo-les-Bains,administrative,43.3609139,-1.3994687,43.3315363,43.3929212,-1.4256243,-1.3521223,Cambo-les-Bains-Bayonne-比利牛斯-大西洋省-Nouvelle-Aquitaine-法国-64250-法国,[1909年5月18日]，{伊萨克·阿尔贝尼斯}在<Cambo-les-Bains>逝世。,伊萨克·阿尔贝尼斯
