date,ppl,geo,gtype,glat,glon,gbox0,gbox1,gbox2,gbox3,ginfo,desc,ppls
1699年3月25日,约翰·阿道夫·哈塞,Bergedorf,administrative,53.4858,10.2267,53.4677586,53.499341,10.1704506,10.2662395,Bergedorf-汉堡市-汉堡-21029-德国,[1699年3月25日]，{约翰·阿道夫·哈塞}在<Bergedorf>出生。,约翰·阿道夫·哈塞
1724年,约翰·阿道夫·哈塞,那不勒斯,city,40.8359336,14.2487826,40.791193,40.916123,14.132099900000002,14.3537121,那不勒斯-NA-CAM-意大利,[1724年]，{约翰·阿道夫·哈塞}到<那不勒斯>，向{亚历山德罗·斯卡拉蒂}学习，掌握了意大利歌剧的创作方法，成为一名出色的歌剧作曲家。,约翰·阿道夫·哈塞 亚历山德罗·斯卡拉蒂
1724年,亚历山德罗·斯卡拉蒂,那不勒斯,city,40.8359336,14.2487826,40.791193,40.916123,14.132099900000002,14.3537121,那不勒斯-NA-CAM-意大利,[1724年]，{约翰·阿道夫·哈塞}到<那不勒斯>，向{亚历山德罗·斯卡拉蒂}学习，掌握了意大利歌剧的创作方法，成为一名出色的歌剧作曲家。,约翰·阿道夫·哈塞 亚历山德罗·斯卡拉蒂
1731年,约翰·阿道夫·哈塞,Dresden,city,51.0493286,13.7381437,50.8893286,51.2093286,13.5781437,13.8981437,德累斯顿-Dresden-萨克森自由州-01069-德国,[1731年]，{约翰·阿道夫·哈塞}到<Dresden>工作，同时到<欧洲>各地指挥自己的剧作上演，曾与{克里斯托夫·维利巴尔德·格鲁克}展开过竞争。,约翰·阿道夫·哈塞 克里斯托夫·维利巴尔德·格鲁克
1731年,克里斯托夫·维利巴尔德·格鲁克,Dresden,city,51.0493286,13.7381437,50.8893286,51.2093286,13.5781437,13.8981437,德累斯顿-Dresden-萨克森自由州-01069-德国,[1731年]，{约翰·阿道夫·哈塞}到<Dresden>工作，同时到<欧洲>各地指挥自己的剧作上演，曾与{克里斯托夫·维利巴尔德·格鲁克}展开过竞争。,约翰·阿道夫·哈塞 克里斯托夫·维利巴尔德·格鲁克
1731年,约翰·阿道夫·哈塞,欧洲,continent,51.0,10.0,50.99995,51.00005,9.99995,10.00005,欧洲,[1731年]，{约翰·阿道夫·哈塞}到<Dresden>工作，同时到<欧洲>各地指挥自己的剧作上演，曾与{克里斯托夫·维利巴尔德·格鲁克}展开过竞争。,约翰·阿道夫·哈塞 克里斯托夫·维利巴尔德·格鲁克
1731年,克里斯托夫·维利巴尔德·格鲁克,欧洲,continent,51.0,10.0,50.99995,51.00005,9.99995,10.00005,欧洲,[1731年]，{约翰·阿道夫·哈塞}到<Dresden>工作，同时到<欧洲>各地指挥自己的剧作上演，曾与{克里斯托夫·维利巴尔德·格鲁克}展开过竞争。,约翰·阿道夫·哈塞 克里斯托夫·维利巴尔德·格鲁克
1783年12月6日,约翰·阿道夫·哈塞,威尼斯,city,45.4371908,12.3345898,45.2312466,45.5779981,12.1668349,12.5965709,威尼斯-VE-VEN-意大利,[1783年12月6日]，{约翰·阿道夫·哈塞}在<威尼斯>逝世。,约翰·阿道夫·哈塞
